"job_title","job_schedule_type","job_location","salary_year_avg","name","job_via"
"Data Analyst","Full-time","Anywhere","650000.0","Mantys","via Y Combinator"
"Director of Analytics","Full-time","Anywhere","336500.0","Meta","via LinkedIn"
"Associate Director- Data Insights","Full-time","Anywhere","255829.5","AT&T","via ZipRecruiter"
"Data Analyst, Marketing","Full-time","Anywhere","232423.0","Pinterest Job Advertisements","via Indeed"
"Data Analyst (Hybrid/Remote)","Full-time","Anywhere","217000.0","Uclahealthcareers","via Recruit.net"
"Principal Data Analyst (Remote)","Full-time","Anywhere","205000.0","SmartAsset","via Built In NYC"
"Director, Data Analyst - HYBRID","Full-time","Anywhere","189309.0","Inclusively","via Indeed"
"Principal Data Analyst, AV Performance Analysis","Full-time","Anywhere","189000.0","Motional","via LinkedIn"
"Principal Data Analyst","Full-time","Anywhere","186000.0","SmartAsset","via Indeed"
"ERM Data Analyst","Full-time","Anywhere","184000.0","Get It Recruit - Information Technology","via Get.It"
